user_id,catch_item.x,catch_item.y,catch_item.x.x,catch_item.y.y,catch_item.x.x.x,catch_item.y.y.y,catch_item.x.x.x.x,catch_item.y.y.y.y,catch_item.x.x.x.x.x,catch_item.y.y.y.y.y,catch_item.x.x.x.x.x.x,catch_item.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y.y.y
ma_va_1995_03_22_985_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,1,1,1,A volte,A volte,Moderatamente,Moderatamente
ch_tr_2002_04_05_446_f,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
li_ma_2002_10_16_674_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
ge_sa_2002_03_12_633_f,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,3,1,3,1,1,3,1,0,0,0,A volte,A volte,Un poco,Un poco
fr_pr_2002_02_27_142_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Molte volte,Molte volte,Un poco,Un poco
el_sc_2001_11_19_090_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
vi_io_1994_08_17_277_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,5,1,5,1,1,5,1,0,0,0,A volte,A volte,Per niente,Per niente
mi_fa_1991_07_12_626_m,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,3,3,3,3,3,3,0,0,0,A volte,A volte,Per niente,Per niente
ji_li_2001_12_24_870_f,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
ma_ma_2002_07_16_468_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,3,1,3,3,1,3,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ca_to_2002_06_18_995_f,5,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Moderatamente,Moderatamente
cl_ta_2001_12_17_692_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,2,2,2,2,2,2,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ma_ro_1997_05_04_174_m,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,1,3,1,1,3,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
el_ma_1997_03_04_563_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Un poco,Un poco
al_ma_2002_01_25_787_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
el_ma_2002_05_04_563_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,4,1,4,1,1,4,1,0,0,0,Quasi mai,Quasi mai,Moderatamente,Moderatamente
ca_pi_2002_02_27_008_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,A volte,A volte,Per niente,Per niente
al_ca_2004_02_20_708_m,4,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ma_in_1997_04_19_396_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,1,3,1,1,3,1,1,1,1,A volte,A volte,Un poco,Un poco
gi_la_2001_12_05_969_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
to_fi_1994_01_19_121_m,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,2,1,2,2,1,2,0,0,0,A volte,A volte,Per niente,Per niente
ma_lo_2002_03_15_491_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
al_la_1998_11_06_661_f,4,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Un poco,Un poco
fa_sa_1998_01_08_860_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
ni_me_2001_11_16_857_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,2,1,2,1,1,2,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
an_me_1997_04_23_952_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
au_sa_2002_01_21_623_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,1,3,1,1,3,1,0,0,0,Quasi mai,Quasi mai,Un poco,Un poco
sa_ce_1996_10_07_346_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
de_mi_2002_12_05_800_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
li_ri_2000_03_23_998_f,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,1,3,1,1,3,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
gi_pi_1997_10_29_583_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,5,1,5,1,1,5,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
su_ri_2003_01_12_879_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Moderatamente,Moderatamente
lu_te_2002_05_01_691_m,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
ir_bu_1996_02_01_144_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,2,1,2,1,1,2,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
el_pu_2002_11_04_983_f,6,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ma_ol_1998_05_20_876_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
so_ca_1998_02_28_630_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
cl_nu_1998_09_11_110_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Un poco,Un poco
lu_ta_2002_06_07_018_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,4,1,4,1,1,4,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
le_pe_2000_06_03_133_m,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,D'accordo,D'accordo,1,1,1,1,1,1,1,1,1,1,Quasi mai,Quasi mai,Per niente,Per niente
wi_tr_1998_06_12_105_m,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,2,1,2,2,1,2,0,0,0,Molte volte,Molte volte,Un poco,Un poco
re_se_2002_08_20_598_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
vi_fl_1998_10_17_074_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,3,1,3,1,1,3,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
il_de_1988_09_10_739_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Un poco,Un poco
gi_va_2002_01_25_202_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
yl_te_2002_05_28_047_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,4,1,4,1,1,4,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
er_fa_1995_08_03_469_f,5,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,4,1,4,1,1,4,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Molto,Molto
no_po_1999_12_16_983_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Un poco,Un poco
al_sa_2001_12_15_910_m,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
to_to_2002_06_09_367_m,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ir_ma_2002_07_03_236_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,3,1,3,1,1,3,1,0,0,0,Quasi mai,Quasi mai,Moderatamente,Moderatamente
no_ga_1997_05_07_157_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
da_ma_1998_04_08_562_m,4,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,A volte,A volte,Un poco,Un poco
ma_ma_2001_09_18_345_f,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
gi_pa_2002_10_12_305_f,2,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,4,1,4,1,1,4,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
as_pa_2002_08_12_709_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,2,3,2,2,3,2,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
lo_sc_2002_11_29_242_m,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,3,3,3,3,3,3,3,0,0,0,A volte,A volte,Per niente,Per niente
gi_po_2001_05_08_620_m,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Moderatamente,Moderatamente
as_to_2002_10_16_853_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ti_mo_1995_09_23_529_m,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,D'accordo,D'accordo,1,1,1,1,1,1,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
ja_na_2001_10_12_379_m,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
fr_la_1985_01_29_074_m,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
as_so_1997_08_07_814_f,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,Molte volte,Molte volte,Per niente,Per niente
ma_va_2002_05_28_277_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Moderatamente,Moderatamente
ma_me_2002_09_24_164_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
da_pa_1999_11_10_406_m,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,4,1,4,1,1,4,1,0,0,0,Quasi sempre,Quasi sempre,Per niente,Per niente
st_nu_2003_03_17_054_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
gr_ni_2002_12_07_797_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
